#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
int	u	414	SAEaa01	Angular Acceleration	1 rpm/s per bit	0 to 64,255 rpm/s	0	2 bytes	2/19/2015
d	3	115	SAEac01	Acceleration	1/2048 m/s² per bit	-15.687 to 15.687 m/s²	-15.687 m/s²	2 bytes	5/11/2000
d	1	140	SAEac02	Acceleration	0.1 m/s² per bit	-12.5 to 12.5 m/s²	-12.5 m/s²	1 byte	5/11/2000
d	2	303	SAEac03	Acceleration	0.01 m/s² per bit	-320 to 322.55 m/s²	-320 m/s²	2 bytes	8/14/2008
d	7	7	SAEad01	Angle/Direction	0.0000001 deg/bit	-210 to 211.1081215 deg	-210 deg	4 bytes	8/10/2014
d	1	10	SAEad02	Angle/Direction	0.1 s/bit	-3276.8 to 3148.7 s	-3,276.8 s	2 bytes	8/4/2016
d	3	113	SAEad03	Angle/Direction	1/1024 rad per bit	-31.374 to 31.374 rad	-31.374 rad	2 bytes	5/11/2000
d	2	8	SAEad04	Angle/Direction	1/128 deg/bit	-200 to 301.99 deg	-200 deg	2 bytes	
d	2	9	SAEad05	Angle/Direction	1/128 deg/bit	0 to 501.99 deg	0	2 bytes	
int	d	11	SAEad06	Angle/Direction	1 deg/bit	-125 to 125 deg	-125 deg	1 byte	
d	2	136	SAEad07	Angle/Direction	1/256 deg/bit	-125 to 125 deg	-125 deg	2 bytes	8/8/2002
d	2	242	SAEad08	Angle/Direction	0.002 deg/bit	-64 to 64.51 deg	-64 deg	2 bytes	5/18/2004
d	1	244	SAEad09	Angle/Direction	0.1 deg/bit	-12.5 to 12.5 deg	-12.5 deg	1 byte	5/19/2004
d	1	248	SAEad10	Angle/Direction	0.5 deg/bit	-65 to 60 deg	-65 deg	1 byte	5/15/2003
d	7	294	SAEad11	Angle/Direction	1/32768 deg/bit	-250 to 252 deg	-250 deg	3 bytes	11/13/2014
d	3	365	SAEad12	Angle/Direction	1/128 deg/bit	-250 to 250.992 deg	-250 deg	2 bytes	8/9/2012
d	3	379	SAEad13	Angle/Direction	1/128 deg/bit	-400 to 101.99 deg	-400 deg	2 bytes	11/15/2012
d	4	446	SAEad14	Angle/Direction	0.0125 deg/bit	-360 to 443.1875 deg	-360 deg	2 bytes	2/24/2018
d	4	440	SAEarms01	Current rms	0.03125 Arms/bit	0 to 2007.96875 Arms	0	2 bytes	5/8/2017
a		109	SAEatad0005	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 5 bytes followed by an "*" delimiter	8/14/2008
a		271	SAEatad0025	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 25 bytes followed by an "*" delimiter	8/14/2008
a		291	SAEatad0032	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 32 bytes followed by an "*" delimiter	8/14/2008
a		381	SAEatad0050	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 50 bytes followed by an "*" delimiter	11/15/2012
a		108	SAEatad0200	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 200 bytes followed by an "*" delimiter	8/14/2008
a		111	SAEatad1728	ASCII, text (variable, "*" delimited)	ASCII	0 to 255 per byte	0	Variable - up to 1728 bytes followed by an "*" delimiter	8/14/2008
a		94	SAEatf0001	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	1 byte	8/14/2008
a		131	SAEatf0002	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	2 bytes	8/14/2008
a		421	SAEatf0003	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	3 bytes	11/5/2015
a		212	SAEatf0004	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	4 bytes	8/14/2008
a		273	SAEatf0005	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	5 bytes	8/14/2008
a		110	SAEatf0007	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	7 bytes	8/14/2008
a		339	SAEatf0008	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	8 bytes	2/6/2011
a		282	SAEatf0016	ASCII, text (fixed length)	ASCII	0 to 255 per byte	0	16 bytes	8/14/2008
a		258	SAEatnd0200	ASCII, text (variable, NULL delimited)	ASCII	0 to 255 per byte	0	Variable - up to 200 bytes followed by an NULL delimiter	8/14/2008
a		228	SAEatvn0100	ASCII, text (variable, non-delimited)	ASCII	0 to 255 per byte	0	Variable - up to 100 bytes	8/14/2008
int	u	81	SAEba01	Brake Applications	1 brake appl/bit	0 to 4,211,081,215 appl	0	4 bytes	8/9/2012
none		292	SAEbm05	Bit mapped	5 bit bit-mapped	bit-mapped	0	5 bits	11/15/2007
none		275	SAEbm08	Bit mapped	8 bit bit-mapped	bit-mapped	0	8 bits	
none		276	SAEbm16	Bit mapped	16 bit bit-mapped	bit-mapped	0	16 bits	
none		278	SAEbm64	Bit mapped	64 bit bit-mapped	bit-mapped	0	64 bits	
int	u	86	SAEbs01	Bit Field	2 states/1 bit	0 to 1	0	1 bit	
